split_scheme,model,fold,endpoint,seconds,n_train,n_test
murcko_scaffold,ecfp4_knn,0,CYP3A4_pIC50_direct_inhibition,0.02619323799990525,2260,75
murcko_scaffold,ecfp4_random_forest,0,CYP3A4_pIC50_direct_inhibition,1.0337325079999573,2260,75
murcko_scaffold,ecfp4_lightgbm,0,CYP3A4_pIC50_direct_inhibition,0.44437301000016305,2260,75
murcko_scaffold,endpoint_mean,0,CYP3A4_is_TDI,0.0013789300001008087,3494,90
murcko_scaffold,endpoint_median,0,CYP3A4_is_TDI,0.0009491519999755837,3494,90
murcko_scaffold,ecfp4_knn,0,CYP3A4_is_TDI,0.04666665500008094,3494,90
murcko_scaffold,ecfp4_random_forest,0,CYP3A4_is_TDI,1.9968121060001067,3494,90
murcko_scaffold,ecfp4_lightgbm,0,CYP3A4_is_TDI,1.2597885269997278,3494,90
murcko_scaffold,endpoint_mean,0,CYP2D6_is_TDI,0.000821620000351686,1464,33
murcko_scaffold,endpoint_median,0,CYP2D6_is_TDI,0.0003757069998755469,1464,33
murcko_scaffold,ecfp4_knn,0,CYP2D6_is_TDI,0.00912759199991342,1464,33
murcko_scaffold,ecfp4_random_forest,0,CYP2D6_is_TDI,0.8716858839998167,1464,33
murcko_scaffold,ecfp4_lightgbm,0,CYP2D6_is_TDI,0.30819640899972,1464,33
murcko_scaffold,endpoint_mean,1,CYP1A2_pIC50_direct_inhibition,0.0006930059998921934,1370,42
murcko_scaffold,endpoint_median,1,CYP1A2_pIC50_direct_inhibition,0.00035243199999968056,1370,42
murcko_scaffold,ecfp4_knn,1,CYP1A2_pIC50_direct_inhibition,0.009726316000069346,1370,42
murcko_scaffold,ecfp4_random_forest,1,CYP1A2_pIC50_direct_inhibition,0.6003801179999755,1370,42
murcko_scaffold,ecfp4_lightgbm,1,CYP1A2_pIC50_direct_inhibition,0.6177436610000768,1370,42
murcko_scaffold,endpoint_mean,1,CYP2C9_pIC50_direct_inhibition,0.0007001970002420421,1250,35
murcko_scaffold,endpoint_median,1,CYP2C9_pIC50_direct_inhibition,0.00029406400017251144,1250,35
murcko_scaffold,ecfp4_knn,1,CYP2C9_pIC50_direct_inhibition,0.008540675999938685,1250,35
murcko_scaffold,ecfp4_random_forest,1,CYP2C9_pIC50_direct_inhibition,0.5980366779999713,1250,35
murcko_scaffold,ecfp4_lightgbm,1,CYP2C9_pIC50_direct_inhibition,0.2801521250003134,1250,35
murcko_scaffold,endpoint_mean,1,CYP2D6_pIC50_direct_inhibition,0.000683931999901688,1454,39
murcko_scaffold,endpoint_median,1,CYP2D6_pIC50_direct_inhibition,0.0003429370003686927,1454,39
murcko_scaffold,ecfp4_knn,1,CYP2D6_pIC50_direct_inhibition,0.012856699000167282,1454,39
murcko_scaffold,ecfp4_random_forest,1,CYP2D6_pIC50_direct_inhibition,0.7344859529998757,1454,39
murcko_scaffold,ecfp4_lightgbm,1,CYP2D6_pIC50_direct_inhibition,0.7204136870000184,1454,39
murcko_scaffold,endpoint_mean,1,CYP3A4_pIC50_direct_inhibition,0.0011573970000426925,2257,78
murcko_scaffold,endpoint_median,1,CYP3A4_pIC50_direct_inhibition,0.0006647830000474642,2257,78
murcko_scaffold,ecfp4_knn,1,CYP3A4_pIC50_direct_inhibition,0.02925093400017431,2257,78
murcko_scaffold,ecfp4_random_forest,1,CYP3A4_pIC50_direct_inhibition,1.0139253479997024,2257,78
murcko_scaffold,ecfp4_lightgbm,1,CYP3A4_pIC50_direct_inhibition,0.4939395900000818,2257,78
murcko_scaffold,endpoint_mean,1,CYP3A4_is_TDI,0.0012869419997514342,3493,91
murcko_scaffold,endpoint_median,1,CYP3A4_is_TDI,0.0008597969999755151,3493,91
murcko_scaffold,ecfp4_knn,1,CYP3A4_is_TDI,0.04891849800014825,3493,91
murcko_scaffold,ecfp4_random_forest,1,CYP3A4_is_TDI,2.174655798999993,3493,91
murcko_scaffold,ecfp4_lightgbm,1,CYP3A4_is_TDI,0.6615814420001698,3493,91
murcko_scaffold,endpoint_mean,1,CYP2D6_is_TDI,0.0009480399999119982,1458,39
murcko_scaffold,endpoint_median,1,CYP2D6_is_TDI,0.0004534939998848131,1458,39
murcko_scaffold,ecfp4_knn,1,CYP2D6_is_TDI,0.01032679099989764,1458,39
murcko_scaffold,ecfp4_random_forest,1,CYP2D6_is_TDI,0.9172103719997722,1458,39
murcko_scaffold,ecfp4_lightgbm,1,CYP2D6_is_TDI,0.3334744750000027,1458,39
murcko_scaffold,endpoint_mean,2,CYP1A2_pIC50_direct_inhibition,0.0007750189997750567,1375,37
murcko_scaffold,endpoint_median,2,CYP1A2_pIC50_direct_inhibition,0.00034645200003069476,1375,37
murcko_scaffold,ecfp4_knn,2,CYP1A2_pIC50_direct_inhibition,0.009031877999859717,1375,37
murcko_scaffold,ecfp4_random_forest,2,CYP1A2_pIC50_direct_inhibition,0.5893949000001157,1375,37
murcko_scaffold,ecfp4_lightgbm,2,CYP1A2_pIC50_direct_inhibition,0.31819227800042427,1375,37
murcko_scaffold,endpoint_mean,2,CYP2C9_pIC50_direct_inhibition,0.000650260999918828,1250,35
murcko_scaffold,endpoint_median,2,CYP2C9_pIC50_direct_inhibition,0.00030379899999388726,1250,35
murcko_scaffold,ecfp4_knn,2,CYP2C9_pIC50_direct_inhibition,0.007855262000248331,1250,35
murcko_scaffold,ecfp4_random_forest,2,CYP2C9_pIC50_direct_inhibition,0.6220600510000622,1250,35
murcko_scaffold,ecfp4_lightgbm,2,CYP2C9_pIC50_direct_inhibition,0.3596778470000572,1250,35
murcko_scaffold,endpoint_mean,2,CYP2D6_pIC50_direct_inhibition,0.0008169230000021344,1457,36
murcko_scaffold,endpoint_median,2,CYP2D6_pIC50_direct_inhibition,0.0005134040002303664,1457,36
murcko_scaffold,ecfp4_knn,2,CYP2D6_pIC50_direct_inhibition,0.010405931000150304,1457,36
murcko_scaffold,ecfp4_random_forest,2,CYP2D6_pIC50_direct_inhibition,0.7996924529998068,1457,36
murcko_scaffold,ecfp4_lightgbm,2,CYP2D6_pIC50_direct_inhibition,0.3406553909999275,1457,36
murcko_scaffold,endpoint_mean,2,CYP3A4_pIC50_direct_inhibition,0.0010622419999890553,2263,72
murcko_scaffold,endpoint_median,2,CYP3A4_pIC50_direct_inhibition,0.000940177999837033,2263,72
murcko_scaffold,ecfp4_knn,2,CYP3A4_pIC50_direct_inhibition,0.025750045999757276,2263,72
murcko_scaffold,ecfp4_random_forest,2,CYP3A4_pIC50_direct_inhibition,1.0046096229998511,2263,72
murcko_scaffold,ecfp4_lightgbm,2,CYP3A4_pIC50_direct_inhibition,0.43868820499983485,2263,72
murcko_scaffold,endpoint_mean,2,CYP3A4_is_TDI,0.0014770190000490402,3495,89
murcko_scaffold,endpoint_median,2,CYP3A4_is_TDI,0.0010510359998079366,3495,89
murcko_scaffold,ecfp4_knn,2,CYP3A4_is_TDI,0.04872291399988171,3495,89
murcko_scaffold,ecfp4_random_forest,2,CYP3A4_is_TDI,1.931200918000286,3495,89
murcko_scaffold,ecfp4_lightgbm,2,CYP3A4_is_TDI,0.6330543500002932,3495,89
murcko_scaffold,endpoint_mean,2,CYP2D6_is_TDI,0.00073791299973891,1461,36
murcko_scaffold,endpoint_median,2,CYP2D6_is_TDI,0.0003385610002624162,1461,36
murcko_scaffold,ecfp4_knn,2,CYP2D6_is_TDI,0.009005929000068136,1461,36
murcko_scaffold,ecfp4_random_forest,2,CYP2D6_is_TDI,0.9763428629998998,1461,36
