split_scheme,model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
murcko_scaffold,ecfp4_lightgbm,pooled,,classification,CYP3A4_is_TDI,MCC,0.33920982064977784,459,133.0,157.0
murcko_scaffold,ecfp4_lightgbm,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7914371789728316,181,,
murcko_scaffold,ecfp4_lightgbm,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8359179411945041,159,,
murcko_scaffold,ecfp4_lightgbm,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9054866505190751,177,,
murcko_scaffold,ecfp4_lightgbm,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6023039767040382,381,,
murcko_scaffold,ecfp4_random_forest,pooled,,classification,CYP2D6_is_TDI,MCC,0.05064558922760976,177,29.0,8.0
murcko_scaffold,ecfp4_random_forest,pooled,,classification,CYP3A4_is_TDI,MCC,0.2863688166189054,459,133.0,83.0
murcko_scaffold,ecfp4_random_forest,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8045403523798412,181,,
murcko_scaffold,ecfp4_random_forest,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9127062240726959,159,,
murcko_scaffold,ecfp4_random_forest,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8812464639322134,177,,
murcko_scaffold,ecfp4_random_forest,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8118997886777323,381,,
murcko_scaffold,endpoint_mean,pooled,,classification,CYP2D6_is_TDI,MCC,0.0,177,29.0,0.0
murcko_scaffold,endpoint_mean,pooled,,classification,CYP3A4_is_TDI,MCC,0.0,459,133.0,0.0
murcko_scaffold,endpoint_mean,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.012915366842629,181,,
murcko_scaffold,endpoint_mean,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0962548934586467,159,,
murcko_scaffold,endpoint_mean,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0219325217142605,177,,
murcko_scaffold,endpoint_mean,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.176465921119024,381,,
murcko_scaffold,endpoint_median,pooled,,classification,CYP2D6_is_TDI,MCC,0.0,177,29.0,0.0
murcko_scaffold,endpoint_median,pooled,,classification,CYP3A4_is_TDI,MCC,0.0,459,133.0,0.0
murcko_scaffold,endpoint_median,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.970701123324248,181,,
murcko_scaffold,endpoint_median,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0582636580900997,159,,
