variant,fold,seed,term,training_sample_n,weighted_loss,encoder_gradient_norm,cosine_to_2D6_classification
independent_no_std,3,20260829,reportability,256,0.022533837240189314,0.03609716085629372,0.13489095449611285
independent_no_std,3,20260829,all_except_classification_2D6,256,,0.3926701967523973,0.11664344313622987
independent_std,3,20260829,continuous_2D6,256,0.2262926548719406,0.32310412670877775,0.4780532437093388
independent_std,3,20260829,continuous_other,256,0.46039149165153503,0.8729050680751518,0.19775362167535548
independent_std,3,20260829,classification_2D6,256,0.34392547607421875,0.0954210668827948,0.9999999999999962
independent_std,3,20260829,classification_3A4,256,0.15203903801739216,0.1371127816072902,0.17287114671163412
independent_std,3,20260829,reportability,256,0.0222682470921427,0.10148866757539689,0.31759131046279876
independent_std,3,20260829,all_except_classification_2D6,256,,1.1075596003306771,0.3458196534280883
paired_no_std,3,20260829,continuous_2D6,256,0.167789738625288,0.349051822803976,-0.25398109487427245
paired_no_std,3,20260829,continuous_other,256,0.33099931478500366,0.6030557718997379,0.08008215303938607
paired_no_std,3,20260829,classification_2D6,256,0.30030351504683495,0.11694249592779264,0.9999999999999964
paired_no_std,3,20260829,classification_3A4,256,0.1373200509697199,0.3169541788867468,0.011003547980816163
paired_no_std,3,20260829,reportability,256,0.012072076322510839,0.03153758432910466,0.03483508274973851
paired_no_std,3,20260829,all_except_classification_2D6,256,,0.6118739635999385,-0.058463550927477945
paired_std,3,20260829,continuous_2D6,256,0.16693918779492378,0.37797462684890903,-0.3278771615726217
paired_std,3,20260829,continuous_other,256,0.27455245330929756,0.6886802048018353,-0.014559232977715313
paired_std,3,20260829,classification_2D6,256,0.3064744919538498,0.1280692366098228,0.9999999999999923
paired_std,3,20260829,classification_3A4,256,0.13120205141603947,0.23574894067839633,-0.135961007307825
paired_std,3,20260829,reportability,256,0.0158187891356647,0.06243217462517937,-0.2218877939248199
paired_std,3,20260829,all_except_classification_2D6,256,,0.6883843704312054,-0.26128063334409213
independent_no_std,4,20260829,continuous_2D6,256,0.22072865813970566,0.1095265739949366,-0.5334640482446527
independent_no_std,4,20260829,continuous_other,256,0.7373384684324265,0.8114042794781238,-0.46847103807751417
independent_no_std,4,20260829,classification_2D6,256,0.19971581920981407,0.039762913887238155,0.9999999999999956
independent_no_std,4,20260829,classification_3A4,256,0.20149390399456024,0.1431254769713902,-0.3542978874540362
independent_no_std,4,20260829,reportability,256,0.03891095798462629,0.034083424041598614,-0.3158055361223357
independent_no_std,4,20260829,all_except_classification_2D6,256,,0.9642148838254023,-0.5185780588780665
independent_std,4,20260829,continuous_2D6,256,0.20531022548675537,0.09172644324228199,-0.39042819716093224
independent_std,4,20260829,continuous_other,256,0.7077407091856003,0.4845351478918328,-0.29849109797692996
independent_std,4,20260829,classification_2D6,256,0.19886326044797897,0.03444417279334436,1.0000000000000016
independent_std,4,20260829,classification_3A4,256,0.19878292083740234,0.16654977607497456,-0.3670388029015511
independent_std,4,20260829,reportability,256,0.03749799448996782,0.04858380779772295,-0.28805771233139715
independent_std,4,20260829,all_except_classification_2D6,256,,0.6199493759852153,-0.4122388037381486
paired_no_std,4,20260829,continuous_2D6,256,0.22569260001182556,0.0892182423994383,-0.3282763691686236
paired_no_std,4,20260829,continuous_other,256,0.7257325351238251,0.8132839987446896,-0.31887468109228007
paired_no_std,4,20260829,classification_2D6,256,0.22801173850893974,0.052706305921732,1.0000000000000002
paired_no_std,4,20260829,classification_3A4,256,0.21154315024614334,0.1669528276078617,-0.5028752648825418
paired_no_std,4,20260829,reportability,256,0.04023548448458314,0.03767006484891171,-0.10215222186036779
paired_no_std,4,20260829,all_except_classification_2D6,256,,0.9388913240539065,-0.400928664478938
